id,Title,Price,Year,Mileage,Fuel_Type,Horsepower,Transmission,Page,Link
5555,Toyota Vitz 2015 F 1.0 for Sale,PKR 33.25 lacs,2015,"95,000 km",Petrol,1000 cc,Automatic,page 160,https://www.pakwheels.com/used-cars/toyota-vitz-2015-for-sale-in-lahore-9287013
5556,KIA Sorento 2022 3.5 FWD for Sale,PKR 83 lacs,2022,"41,605 km",Petrol,3500 cc,Automatic,page 160,https://www.pakwheels.com/used-cars/kia-sorento-2022-for-sale-in-lahore-9251517
5557,Toyota C-HR 2018 G-LED for Sale,PKR 79.5 lacs,2018,"72,150 km",Hybrid,1800 cc,Automatic,page 160,https://www.pakwheels.com/used-cars/toyota-c-hr-2018-for-sale-in-lahore-9286874
5558,Changan Karvaan 2023 Base Model 1.0 for Sale,PKR 25.5 lacs,2023,"8,000 km",Petrol,1000 cc,Manual,page 160,https://www.pakwheels.com/used-cars/changan-karvaan-2023-for-sale-in-lahore-9164272
5559,Suzuki Mehran 2005 VXR for Sale,PKR 5 lacs,2005,"40,000 km",Petrol,800 cc,Manual,page 161,https://www.pakwheels.com/used-cars/suzuki-mehran-2005-for-sale-in-lahore-9286993
5560,Honda City 2018 1.3 i-VTEC for Sale,PKR 32.9 lacs,2018,"73,000 km",Petrol,1300 cc,Manual,page 161,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-lahore-9286972
5561,Suzuki Wagon R 2021 VXR for Sale,PKR 27 lacs,2021,"53,000 km",Petrol,1000 cc,Manual,page 161,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2021-for-sale-in-lahore-9286947
5562,Honda City 2023 1.2L M/T for Sale,PKR 44 lacs,2023,"23,000 km",Petrol,1200 cc,Manual,page 161,https://www.pakwheels.com/used-cars/honda-city-2023-for-sale-in-lahore-9286936
5563,Toyota Platz 2001 F 1.0 for Sale,PKR 15.25 lacs,2001,"60,000 km",Petrol,1000 cc,Automatic,page 161,https://www.pakwheels.com/used-cars/toyota-platz-2001-for-sale-in-lahore-9171468
5564,Toyota Yaris 2022 ATIV X CVT 1.5 for Sale,PKR 51 lacs,2022,"4,300 km",Petrol,1500 cc,Automatic,page 161,https://www.pakwheels.com/used-cars/toyota-yaris-2022-for-sale-in-lahore-9286925
5565,MG HS 2022 Trophy for Sale,PKR 73 lacs,2022,"5,000 km",Petrol,1500 cc,Automatic,page 161,https://www.pakwheels.com/used-cars/mg-hs-2022-for-sale-in-lahore-9286929
5566,Toyota Corolla 2013 XLi VVTi for Sale,PKR 27.75 lacs,2013,"93,000 km",Petrol,1300 cc,Manual,page 161,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-lahore-9286926
